iter	Passed	Remaining
444	1136	1416
445	1137	1412
446	1139	1409
447	1140	1405
448	1141	1401
449	1147	1402
450	1149	1398
451	1150	1394
452	1151	1390
453	1152	1386
454	1154	1382
455	1155	1378
456	1156	1374
457	1167	1381
458	1234	1454
459	1237	1452
460	1250	1462
461	1252	1458
462	1253	1454
463	1255	1450
464	1258	1448
465	1261	1445
466	1263	1441
467	1264	1437
468	1266	1433
469	1267	1429
470	1269	1425
471	1281	1433
472	1283	1429
473	1284	1425
474	1288	1424
475	1294	1424
476	1295	1420
477	1296	1416
478	1298	1411
479	1299	1407
480	1300	1403
481	1301	1398
482	1304	1395
483	1305	1392
484	1307	1388
485	1309	1384
486	1310	1380
487	1311	1376
488	1316	1375
489	1320	1374
490	1324	1373
491	1326	1369
492	1331	1369
493	1334	1366
494	1335	1362
495	1336	1358
496	1338	1354
497	1339	1350
498	1340	1345
499	1341	1341
500	1342	1337
501	1343	1333
502	1346	1330
503	1348	1326
504	1349	1322
505	1350	1318
506	1351	1314
507	1352	1310
508	1354	1306
509	1355	1301
510	1356	1297
511	1357	1293
512	1358	1289
513	1359	1285
514	1361	1281
515	1362	1278
516	1364	1274
517	1365	1270
518	1366	1266
519	1367	1262
520	1368	1258
521	1369	1254
522	1370	1250
523	1372	1246
524	1376	1245
525	1379	1242
526	1380	1239
527	1382	1235
528	1383	1231
529	1384	1227
530	1385	1224
531	1387	1220
532	1391	1219
533	1395	1217
534	1396	1213
535	1397	1209
536	1398	1205
537	1399	1201
538	1400	1198
539	1401	1194
540	1402	1190
541	1404	1187
542	1407	1184
543	1409	1181
544	1410	1177
545	1412	1174
546	1414	1171
547	1415	1167
548	1416	1163
549	1421	1162
550	1422	1159
551	1424	1156
552	1426	1152
553	1427	1149
554	1428	1145
555	1430	1142
556	1431	1138
557	1433	1135
558	1435	1132
559	1436	1128
560	1437	1125
561	1439	1121
562	1440	1117
563	1441	1114
564	1442	1110
565	1443	1107
566	1444	1103
567	1445	1099
568	1447	1096
569	1449	1093
570	1451	1090
571	1454	1088
572	1457	1085
573	1459	1082
574	1460	1079
575	1461	1075
576	1463	1072
577	1465	1070
578	1468	1067
579	1469	1064
580	1471	1061
581	1472	1057
582	1473	1054
583	1474	1050
584	1476	1047
585	1477	1043
586	1480	1041
587	1482	1038
588	1483	1034
589	1484	1031
590	1485	1027
591	1486	1024
592	1487	1020
593	1488	1017
594	1489	1014
595	1490	1010
596	1491	1007
597	1494	1004
598	1497	1002
599	1498	999
600	1499	995
601	1500	992
602	1501	988
603	1502	985
604	1503	981
605	1505	978
606	1506	975
607	1509	973
608	1512	971
609	1514	968
610	1515	964
611	1516	961
612	1517	958
613	1519	954
614	1520	951
615	1526	951
616	1527	948
617	1528	944
618	1529	941
619	1530	938
620	1532	935
621	1533	931
622	1534	928
623	1535	925
624	1539	923
625	1540	920
626	1542	917
627	1543	914
628	1544	910
629	1545	907
630	1546	904
631	1547	901
632	1548	898
633	1550	895
634	1551	892
635	1553	889
636	1555	886
637	1557	883
638	1558	880
639	1559	877
640	1561	874
641	1562	871
642	1563	868
643	1565	865
644	1570	864
645	1574	862
646	1575	859
647	1576	856
648	1578	853
649	1579	850
650	1581	847
651	1584	845
652	1587	843
653	1589	841
654	1591	838
655	1592	835
656	1593	831
657	1595	829
658	1625	841
659	1626	838
660	1628	835
661	1635	835
662	1636	832
663	1638	828
664	1639	825
665	1640	822
666	1641	819
667	1643	816
668	1644	813
669	1646	810
670	1648	808
671	1649	805
672	1651	802
673	1652	799
674	1653	796
675	1654	793
676	1655	789
677	1656	786
678	1657	783
679	1658	780
680	1660	777
681	1662	775
682	1663	771
683	1664	768
684	1665	765
685	1666	762
686	1667	759
687	1668	756
688	1669	753
689	1670	750
690	1671	747
691	1672	744
692	1672	741
693	1674	738
694	1675	735
695	1676	732
696	1678	729
697	1679	726
698	1680	723
699	1681	720
700	1682	717
701	1683	714
702	1684	711
703	1685	708
704	1686	705
705	1687	702
